timestamp,price,bid,ask
1763424000,92103.82463382653,0.47,0.49
1763424001,92104.07000883113,0.47,0.49
1763424002,92115.13469687894,0.47,0.51
1763424003,92109.64896385894,0.47,0.5
1763424004,92104.89132640306,0.46,0.48
1763424005,92089.41518729979,0.46,0.47
1763424006,92089.53081422075,0.46,0.47
1763424007,92084.2577425,0.45,0.46
1763424008,92086.87651897536,0.45,0.46
1763424009,92083.14856429925,0.43,0.46
1763424010,92081.84494116508,0.43,0.46
1763424011,92081.84494116508,0.43,0.46
1763424012,92080.7912947936,0.43,0.45
1763424013,92080.7912947936,0.43,0.45
1763424014,92076.2011936833,0.43,0.45
1763424015,92075.54380582953,0.43,0.44
1763424016,92065.67743036957,0.41,0.42
1763424017,92059.85476420002,0.41,0.42
1763424018,92059.85492320002,0.41,0.42
1763424019,92064.56377589462,0.41,0.42
1763424020,92064.56377589462,0.41,0.42
1763424021,92064.92698500723,0.41,0.42
1763424022,92064.10318437031,0.41,0.42
1763424023,92064.10318437031,0.41,0.42
1763424024,92063.9923851649,0.4,0.41
1763424025,92063.2949807985,0.4,0.41
1763424026,92062.23154106294,0.4,0.42
1763424027,92062.06518507328,0.42,0.43
1763424028,92062.06518507328,0.42,0.43
1763424029,92063.99175690637,0.42,0.43
1763424030,92055.27880807548,0.4,0.41
1763424031,92055.27880807548,0.39,0.4
1763424032,92051.79817040962,0.38,0.39
1763424033,92046.19837176616,0.38,0.4
1763424034,92046.59758039078,0.39,0.4
1763424035,92045.08853180605,0.36,0.39
1763424036,92044.99044888737,0.36,0.38
1763424037,92044.17433713305,0.36,0.38
1763424038,92043.74606948734,0.37,0.39
1763424039,92043.74606948734,0.36,0.38
1763424040,92042.9178755004,0.37,0.38
1763424041,92042.9178755004,0.39,0.4
1763424042,92051.96262383982,0.38,0.4
1763424043,92051.94995986386,0.39,0.4
1763424044,92054.55653228579,0.4,0.42
1763424045,92059.30387764383,0.4,0.42
1763424046,92059.49172079029,0.41,0.43
1763424047,92059.49768446869,0.4,0.41
1763424048,92059.49768446869,0.38,0.4
1763424049,92057.677760579,0.38,0.41
1763424050,92053.39972740621,0.39,0.41
1763424051,92053.39972740621,0.39,0.41
1763424052,92052.84651580137,0.39,0.41
1763424053,92052.09821405882,0.39,0.41
1763424054,92052.5738305702,0.39,0.41
1763424055,92053.86245051528,0.39,0.41
1763424056,92053.86245051528,0.39,0.41
1763424057,92053.09903080981,0.4,0.42
1763424058,92057.28741084765,0.42,0.44
1763424059,92057.33674592334,0.42,0.44
1763424060,92067.46247770885,0.38,0.41
1763424061,92067.46247770885,0.38,0.41
1763424062,92056.77941657302,0.38,0.41
